id,Runs_Scored,Extra_runs,id,Bowler,Striker,strike_position,playerout,wickets,matchdatesk,bowlingteamsk,battingteamsk,matchdate,total_runs,high_runs,bat_skill,bat_Experience,cumulative_overs,bowl_skill,bowl_experience,innings,striker_dob,bowler_dob,matchyear,striker_age,bowler_age,is2017,2013,over,spin,BowlerType,batting_hand
"981024,2,18",6,1,"981024,2,18",299,255,7.0,1,0,20160529,10,1,5/29/2016,7,False,24.0,94.0,0,98.0,333.0,2,1992,1984,2016,24,32,0,0,18,0,pace,Right-hand bat
"734024,1,07",11,0,"734024,1,07",356,88,3.0,0,0,20140519,3,5,5/19/2014,11,False,55.0,366.0,0,18.0,82.0,1,1979,1981,2014,35,33,0,0,7,0,pace,Right-hand bat
"734016,1,03",1,0,"734016,1,03",368,339,2.0,0,0,20140515,5,4,5/15/2014,1,False,23.0,133.0,0,21.0,71.0,1,1993,1988,2014,21,26,0,0,3,0,pace,Right-hand bat
"419150,2,18",9,0,"419150,2,18",94,178,3.0,0,0,20100408,1,7,4/8/2010,9,False,18.0,91.0,0,87.0,345.0,2,1990,1986,2010,20,24,0,0,18,0,pace,Right-hand bat
"1082609,2,09",4,0,"1082609,2,09",485,216,4.0,0,1,20170417,10,3,4/17/2017,4,False,23.0,110.0,0,2.0,11.0,2,1977,1994,2017,40,23,1,0,9,1,off_spin,Left-hand bat
"336013,2,03",2,0,"336013,2,03",102,44,2.0,0,0,20080507,4,6,5/7/2008,2,False,26.0,94.0,0,17.0,42.0,2,1978,1984,2008,30,24,0,0,3,0,pace,Left-hand bat
"980912,2,15",14,0,"980912,2,15",366,216,6.0,0,0,20160412,1,10,4/12/2016,14,True,23.0,110.0,1,4.0,33.0,2,1977,1993,2016,39,23,0,0,15,1,off_spin,Left-hand bat
"419121,2,11",17,0,"419121,2,11",116,21,4.0,0,0,20100319,5,2,3/19/2010,17,True,126.0,545.0,1,38.0,132.0,2,1978,1982,2010,32,28,0,0,11,0,pace,Left-hand bat
"1082647,1,04",5,0,"1082647,1,04",375,87,4.0,0,0,20170516,6,11,5/16/2017,5,False,39.0,238.0,0,46.0,175.0,1,1985,1990,2017,32,27,1,0,4,0,pace,Right-hand bat
"419126,2,04",10,1,"419126,2,04",153,18,2.0,0,0,20100321,3,2,3/21/2010,11,False,36.0,130.0,0,14.0,71.0,2,1975,1984,2010,35,26,0,0,4,1,off_spin,Left-hand bat
"501273,1,18",13,0,"501273,1,18",201,8,3.0,1,0,20110524,2,1,5/24/2011,13,True,144.0,646.0,1,100.0,383.0,1,1975,1984,2011,36,27,0,0,18,1,off_spin,Right-hand bat
"548371,2,01",2,1,"548371,2,01",94,319,1.0,0,0,20120513,7,3,5/13/2012,3,False,2.0,26.0,0,87.0,345.0,2,1989,1986,2012,23,26,0,0,1,0,pace,Right-hand bat
