id,Runs_Scored,Extra_runs,id,Bowler,BowlerType,Striker,batting_hand,Batsman_position,Previous_wickets,wickets,matchdatesk,bowlingteamsk,battingteamsk,matchdate,total_runs,high_runs,Batsmen_skill,Batsman_Experience,Previous_Highscoring_Overs,Bowler_skill,Bowler_experience,innings,striker_dob,bowler_dob,matchyear,Batsman_age,Bowler_age,is2017,2013,over
"980918,2,07",5,5,"980918,2,07",412,2,355,0,1.0,0,0,20160415,3,5,4/15/2016,10,False,0.12121212121212122,99.0,0,0.16666666666666666,18.0,2,1990,1991,2016,26,25,0,0,7
"336021,2,13",9,0,"336021,2,13",8,0,100,0,1.0,0,0,20080512,1,3,5/12/2008,9,False,0.19881305637982197,337.0,0,0.0975609756097561,41.0,2,1984,1975,2008,24,33,0,0,13
"501206,2,11",3,0,"501206,2,11",177,1,57,1,4.0,0,0,20110410,5,6,4/10/2011,3,False,0.20284697508896798,562.0,0,0.28378378378378377,74.0,2,1975,1983,2011,36,28,0,0,11
"419169,1,12",3,1,"419169,1,12",298,1,54,1,7.0,0,0,20100424,1,7,4/24/2010,4,False,0.15441176470588236,136.0,0,0.2,10.0,1,1974,1990,2010,36,20,0,0,12
"392190,2,16",2,0,"392190,2,16",151,0,6,1,6.0,0,1,20090420,2,1,4/20/2009,2,False,0.11598746081504702,319.0,0,0.296875,256.0,2,1978,1990,2009,31,19,0,0,16
"548376,1,17",15,0,"548376,1,17",4,1,109,0,7.0,1,0,20120517,3,2,5/17/2012,15,True,0.2708333333333333,96.0,1,0.16981132075471697,53.0,1,1984,1980,2012,28,32,0,0,17
"548373,2,12",6,0,"548373,2,12",31,1,303,1,3.0,2,0,20120514,0,2,5/14/2012,6,False,0.14210526315789473,190.0,0,0.22105263157894736,190.0,2,1988,1981,2012,24,31,0,0,12
"548375,2,18",8,0,"548375,2,18",315,1,50,1,8.0,2,2,20120516,0,6,5/16/2012,8,False,0.34210526315789475,76.0,0,0.2786377708978328,323.0,2,1974,1971,2012,38,41,0,0,18
"548319,1,06",18,0,"548319,1,06",131,1,42,0,2.0,0,0,20120409,6,7,4/9/2012,18,True,0.16730038022813687,526.0,1,0.3018867924528302,318.0,1,1981,1989,2012,31,23,0,0,6
"598028,1,10",6,0,"598028,1,10",81,0,255,1,4.0,0,1,20130420,1,4,4/20/2013,6,False,0.2553191489361702,94.0,0,0.2966101694915254,354.0,1,1992,1977,2013,21,36,0,1,10
"733980,1,18",10,1,"733980,1,18",363,0,154,0,5.0,0,0,20140503,4,5,5/3/2014,11,False,0.21453287197231835,289.0,0,0.32075471698113206,53.0,1,1977,1988,2014,37,26,0,0,18
"336005,1,01",5,0,"336005,1,01",106,0,74,0,1.0,0,0,20080501,0,4,5/1/2008,5,False,0.2076923076923077,130.0,0,0.30196078431372547,255.0,1,1985,1973,2008,23,35,0,0,1
"733990,2,08",8,1,"733990,2,08",293,1,40,0,2.0,0,0,20140507,5,0,5/7/2014,9,False,0.17755443886097153,597.0,0,0.19786096256684493,187.0,2,1978,1985,2014,36,29,0,0,8
"734020,2,19",6,0,"734020,2,19",94,0,284,1,5.0,0,0,20140518,10,0,5/18/2014,6,False,0.2727272727272727,44.0,0,0.25217391304347825,345.0,2,1981,1986,2014,33,28,0,0,19
"548380,2,10",6,0,"548380,2,10",31,1,1,0,4.0,0,1,20120519,0,9,5/19/2012,6,False,0.13452914798206278,223.0,0,0.22105263157894736,190.0,2,1981,1981,2012,31,31,0,0,10
"501218,2,07",8,0,"501218,2,07",235,1,41,1,2.0,0,1,20110417,9,5,4/17/2011,8,False,0.3063973063973064,297.0,0,0.2709677419354839,155.0,2,1985,1991,2011,26,20,0,0,7
"392204,2,05",8,0,"392204,2,05",83,1,132,0,2.0,0,0,20090429,0,1,4/29/2009,8,False,0.0851063829787234,47.0,0,0.1875,192.0,2,1973,1988,2009,36,21,0,0,5
"598034,1,09",6,0,"598034,1,09",382,2,87,1,4.0,1,0,20130424,6,0,4/24/2013,6,False,0.1638655462184874,238.0,0,0.3383084577114428,201.0,1,1985,1985,2013,28,28,0,1,9
"829726,2,10",4,0,"829726,2,10",372,0,306,1,3.0,0,0,20150414,6,4,4/14/2015,4,False,0.22123893805309736,226.0,0,0.2,40.0,2,1981,1991,2015,34,24,0,0,10
"548382,2,15",9,1,"548382,2,15",316,2,147,1,2.0,0,0,20120520,4,6,5/20/2012,10,False,0.23624595469255663,309.0,0,0.2987012987012987,77.0,2,1987,1985,2012,25,27,0,0,15
"733998,1,14",13,0,"733998,1,14",166,2,63,1,5.0,0,0,20140510,10,5,5/10/2014,13,True,0.13114754098360656,61.0,1,0.28735632183908044,174.0,1,1977,1983,2014,37,31,0,0,14
"980984,1,03",7,0,"980984,1,03",106,0,187,0,1.0,0,0,20160510,11,10,5/10/2016,7,False,0.2318271119842829,509.0,0,0.30196078431372547,255.0,1,1979,1973,2016,37,43,0,0,3
"829756,2,07",5,0,"829756,2,07",398,1,354,1,3.0,1,0,20150425,6,10,4/25/2015,5,False,0.19791666666666666,96.0,0,0.21951219512195122,41.0,2,1992,1992,2015,23,23,0,0,7
"419149,1,19",13,0,"419149,1,19",90,0,191,1,5.0,0,0,20100407,5,0,4/7/2010,13,True,0.2765957446808511,94.0,1,0.4,70.0,1,1982,1987,2010,28,23,0,0,19
"548362,2,14",9,2,"548362,2,14",232,0,9,1,3.0,0,0,20120507,5,0,5/7/2012,11,False,0.11576354679802955,406.0,0,0.28703703703703703,324.0,2,1983,1985,2012,29,27,0,0,14
"501233,1,12",8,0,"501233,1,12",201,1,46,1,6.0,0,0,20110427,2,9,4/27/2011,8,False,0.13398058252427184,515.0,0,0.26109660574412535,383.0,1,1987,1984,2011,24,27,0,0,12
"392244,2,06",3,0,"392244,2,06",56,1,96,1,2.0,0,0,20090524,7,1,5/24/2009,3,False,0.20116618075801748,343.0,0,0.22727272727272727,88.0,2,1974,1987,2009,35,22,0,0,6
"829734,2,06",18,0,"829734,2,06",50,1,2,1,2.0,0,0,20150417,6,2,4/17/2015,18,True,0.2131578947368421,380.0,1,0.25256673511293637,487.0,2,1974,1974,2015,41,41,0,0,6
"419158,1,18",4,6,"419158,1,18",121,1,63,1,8.0,0,0,20100413,2,0,4/13/2010,10,False,0.13114754098360656,61.0,0,0.24609375,256.0,1,1977,1977,2010,33,33,0,0,18
"734032,2,01",1,0,"734032,2,01",190,0,162,0,1.0,0,0,20140522,0,1,5/22/2014,1,False,0.24154589371980675,414.0,0,0.2977941176470588,272.0,2,1987,1987,2014,27,27,0,0,1
"548347,1,02",7,0,"548347,1,02",61,0,64,1,1.0,0,0,20120427,6,5,4/27/2012,7,False,0.1991869918699187,246.0,0,0.2809364548494983,299.0,1,1987,1984,2012,25,28,0,0,2
"548371,1,18",14,0,"548371,1,18",188,0,10,1,4.0,1,0,20120513,3,7,5/13/2012,14,True,0.21367521367521367,117.0,1,0.2949640287769784,139.0,1,1976,1981,2012,36,31,0,0,18
"598013,1,10",2,2,"598013,1,10",121,1,31,1,4.0,1,0,20130411,1,0,4/11/2013,4,False,0.238562091503268,306.0,0,0.24609375,256.0,1,1981,1977,2013,32,36,0,1,10
"981008,2,04",7,1,"981008,2,04",460,0,420,0,2.0,0,0,20160520,10,5,5/20/2016,8,False,0.22580645161290322,62.0,0,0.28125,64.0,2,1991,1992,2016,25,24,0,0,4
"548328,1,19",19,0,"548328,1,19",9,0,67,0,8.0,2,0,20120415,0,3,4/15/2012,19,True,0.17647058823529413,68.0,1,0.24054982817869416,291.0,1,1981,1983,2012,31,29,0,0,19
"501246,1,14",9,0,"501246,1,14",282,0,57,1,4.0,0,0,20110504,9,6,5/4/2011,9,False,0.20284697508896798,562.0,0,0.25,20.0,1,1975,1983,2011,36,28,0,0,14
"501259,1,02",5,1,"501259,1,02",302,1,2,1,1.0,0,0,20110513,3,8,5/13/2011,6,False,0.2131578947368421,380.0,0,0.22,50.0,1,1974,1984,2011,37,27,0,0,2
"980950,2,11",7,0,"980950,2,11",310,0,420,0,5.0,0,1,20160427,12,5,4/27/2016,7,False,0.22580645161290322,62.0,0,0.2966507177033493,209.0,2,1991,1990,2016,25,26,0,0,11
"980938,2,16",4,0,"980938,2,16",386,2,57,1,1.0,1,0,20160423,5,6,4/23/2016,4,False,0.20284697508896798,562.0,0,0.3416666666666667,120.0,2,1975,1990,2016,41,26,0,0,16
"419168,1,05",1,3,"419168,1,05",56,1,21,0,4.0,1,1,20100422,7,2,4/22/2010,4,False,0.23119266055045873,545.0,0,0.22727272727272727,88.0,1,1978,1987,2010,32,23,0,0,5
"980988,1,15",7,0,"980988,1,15",136,2,396,1,3.0,0,1,20160512,5,10,5/12/2016,7,False,0.22916666666666666,48.0,0,0.2737556561085973,442.0,1,1992,1977,2016,24,39,0,0,15
"392229,1,03",12,0,"392229,1,03",14,0,18,0,2.0,0,0,20090514,1,2,5/14/2009,12,True,0.27692307692307694,130.0,1,0.20518867924528303,424.0,1,1975,1978,2009,34,31,0,0,3
"598007,2,15",13,0,"598007,2,15",50,1,35,0,7.0,0,0,20130406,6,2,4/6/2013,13,True,0.18376068376068377,234.0,1,0.25256673511293637,487.0,2,1985,1974,2013,28,39,0,1,15
"548341,2,13",2,1,"548341,2,13",175,1,6,1,1.0,2,0,20120423,1,4,4/23/2012,3,False,0.11598746081504702,319.0,0,0.22900763358778625,131.0,2,1978,1979,2012,34,33,0,0,13
"392219,2,10",5,1,"392219,2,10",151,0,28,0,3.0,0,1,20090507,2,3,5/7/2009,6,False,0.14705882352941177,34.0,0,0.296875,256.0,2,1984,1990,2009,25,19,0,0,10
"829730,1,02",10,0,"829730,1,02",404,0,185,1,1.0,0,0,20150415,5,3,4/15/2015,10,False,0.15406162464985995,357.0,0,0.21428571428571427,14.0,1,1980,1993,2015,35,22,0,0,2
"336025,2,01",9,1,"336025,2,01",118,0,53,0,1.0,0,0,20080515,5,7,5/15/2008,10,False,0.21631205673758866,282.0,0,0.24074074074074073,54.0,2,1982,1983,2008,26,25,0,0,1
